"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","HTTP Canonical","Indexability","Indexability Status"
"https://www.how-ma.com/mag/wp-content/uploads/営業マン５-1.jpg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/page/4/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/category/special/page/4/","","","Indexable",""
"https://www.how-ma.com/mansions/search/愛知県/名古屋市","0","","","","https://www.how-ma.com/mansions/search/愛知県/名古屋市","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/2018/03/空き家.jpg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/DusbKq75LZISrtu1538531670.jpg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/post-7544/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/special/post-7544/","https://www.how-ma.com/mag/special/post-7544/","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/2018/03/Fotolia_186478261_XS-e1522229531885.jpg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/23526819_m-768x512.jpeg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/special/how-to-identify-a-good-real-estate-salesman/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/special/how-to-identify-a-good-real-estate-salesman/","https://www.how-ma.com/mag/special/how-to-identify-a-good-real-estate-salesman/","","Indexable",""
"https://www.how-ma.com/mag/sell/if-series-comic-syojiki-keiyaku/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/sell/if-series-comic-syojiki-keiyaku/","https://www.how-ma.com/mag/sell/if-series-comic-syojiki-keiyaku/","","Indexable",""
"https://www.how-ma.com/mag/special/post-6974/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/special/post-6974/","https://www.how-ma.com/mag/special/post-6974/","","Indexable",""
